qid,vid,duration,gt_start,gt_end,gt_length,gt_center,norm_gt_center,pred_start,pred_end,pred_length,pred_center,norm_pred_center,iou,length_bucket,position_bucket
2579,NUsG9BgSes0_210.0_360.0,150,82,150,68,116.0,0.7733333333333333,98.0,150.0,52.0,124.0,0.8266666666666667,0.7647058823529411,long,late
5071,NUsG9BgSes0_60.0_210.0,150,118,136,18,127.0,0.8466666666666667,116.0,150.0,34.0,133.0,0.8866666666666667,0.5294117647058824,medium,late
5342,NUsG9BgSes0_360.0_510.0,150,56,76,20,66.0,0.44,98.0,150.0,52.0,124.0,0.8266666666666667,0.9629629629629629,medium,middle
8636,NUsG9BgSes0_660.0_810.0,150,36,60,24,48.0,0.32,34.0,56.0,22.0,45.0,0.3,0.7692307692307693,medium,early
8749,NUsG9BgSes0_510.0_660.0,150,78,92,14,85.0,0.5666666666666667,78.0,96.0,18.0,87.0,0.58,0.7777777777777778,medium,middle
2638,bP5KfdFJzC4_60.0_210.0,150,0,74,74,37.0,0.24666666666666667,2.0,150.0,148.0,76.0,0.5066666666666667,0.48,long,early
5979,bP5KfdFJzC4_210.0_360.0,150,44,136,92,90.0,0.6,52.0,146.0,94.0,99.0,0.66,0.8235294117647058,long,middle
6223,bP5KfdFJzC4_360.0_510.0,150,10,108,98,59.0,0.3933333333333333,8.0,128.0,120.0,68.0,0.4533333333333333,0.8166666666666667,long,middle
8737,bP5KfdFJzC4_660.0_810.0,126,0,16,16,8.0,0.06349206349206349,2.0,30.0,28.0,16.0,0.12698412698412698,0.4666666666666667,medium,early
8783,bP5KfdFJzC4_510.0_660.0,150,0,144,144,72.0,0.48,64.0,146.0,82.0,105.0,0.7,0.547945205479452,long,middle
781,nY42UppPhhg_60.0_210.0,150,6,20,14,13.0,0.08666666666666667,2.0,20.0,18.0,11.0,0.07333333333333333,0.7777777777777778,medium,early
3359,nY42UppPhhg_210.0_360.0,150,0,2,2,1.0,0.006666666666666667,50.0,68.0,18.0,59.0,0.3933333333333333,0.6666666666666666,short,early
3503,nY42UppPhhg_360.0_510.0,150,52,88,36,70.0,0.4666666666666667,68.0,88.0,20.0,78.0,0.52,0.5555555555555556,long,middle
4625,RoripwjYFp8_210.0_360.0,150,34,62,28,48.0,0.32,34.0,62.0,28.0,48.0,0.32,1.0,medium,early
7803,RoripwjYFp8_360.0_510.0,150,26,46,20,36.0,0.24,22.0,50.0,28.0,36.0,0.24,0.7142857142857143,medium,early
8056,RoripwjYFp8_60.0_210.0,150,106,122,16,114.0,0.76,106.0,120.0,14.0,113.0,0.7533333333333333,0.875,medium,late
2321,r7A-cfBq2Xw_210.0_360.0,150,40,90,50,65.0,0.43333333333333335,58.0,78.0,20.0,68.0,0.4533333333333333,0.4,long,middle
2343,r7A-cfBq2Xw_360.0_510.0,150,0,46,46,23.0,0.15333333333333332,0.0,42.0,42.0,21.0,0.14,0.9130434782608695,long,early
5926,r7A-cfBq2Xw_60.0_210.0,150,0,14,14,7.0,0.04666666666666667,0.0,22.0,22.0,11.0,0.07333333333333333,0.6363636363636364,medium,early
9760,pA6Z-qYhSNg_60.0_210.0,150,32,54,22,43.0,0.2866666666666667,28.0,52.0,24.0,40.0,0.26666666666666666,0.7692307692307693,medium,early
