qid,query,n_words,n_verbs,n_nouns,verbs,nouns,split
2579,A girl and her mother cooked while talking with each other on facetime.,13,2,3,cooked|talking,girl|mother|facetime,val
5071,A woman sitting in front of a desk wearing headphones and using her laptop,14,3,5,sitting|wearing|using,woman|front|desk|headphones|laptop,val
5342,An Asian woman wearing a Boston t-shirt is in her home talking.,12,1,6,wearing,woman|Boston|t|shirt|home|talking,val
8636,Woman holds up a green bottle.,6,1,2,holds,Woman|bottle,val
8749,Woman opens a cup of noodles and puts in water.,10,1,5,opens,Woman|cup|noodles|puts|water,val
2638,Woman in plaid shirt sits still by a red couch.,10,1,4,sits,Woman|plaid|shirt|couch,val
5979,A video showing how to prepare a dish with beans,10,2,3,showing|prepare,video|dish|beans,val
6223,A woman in plaid black and white is showing images to her kid on her laptop,16,1,5,showing,woman|black|images|kid|laptop,val
8737,A family is playing basketball together on a green court outside.,11,1,3,playing,family|basketball|court,val
8783,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,23,3,5,sitting|starts|writing,kid|hoodie|paper|front|paper,val
781,Man talks to the camera while fiddling with his mask.,10,2,3,talks|fiddling,Man|camera|mask,val
3359,Man wears a bandana around his face while out and about.,11,1,3,wears,Man|bandana|face,val
3503,A man talking from a beach,6,1,2,talking,man|beach,val
4625,A woman wearing glasses eating something at a street market,10,2,4,wearing|eating,woman|glasses|street|market,val
7803,Man in gray top walks from outside to inside.,9,0,2,,Man|walks,val
8056,Chef makes pizza and cuts it up.,7,2,2,makes|cuts,Chef|pizza,val
2321,A girl opening post office mails in a car,9,1,5,opening,girl|post|office|mails|car,val
2343,Blonde girl talks in her car parked in a lot.,10,1,4,parked,girl|talks|car|lot,val
5926,Woman in parked car holds up a blue water bottle,10,2,4,parked|holds,Woman|car|water|bottle,val
9760,"Different types of meat products are being cut, shaped and prepared.",11,3,3,cut|shaped|prepared,types|meat|products,val
10029,Man wearing sunglasses in interviewed next to a van.,9,2,3,wearing|interviewed,Man|sunglasses|van,val
10049,Different Facebook posts on transgender bathrooms are shown.,8,1,4,shown,Facebook|posts|transgender|bathrooms,val
1872,Some friends have a birthday meal together around a large table at a restaurant.,14,1,5,have,friends|birthday|meal|table|restaurant,val
3389,Videographer gives a front eye view of the hotel room.,10,1,5,gives,Videographer|eye|view|hotel|room,val
8014,There is a large breakfast spread on the table.,9,1,3,is,breakfast|spread|table,val
3183,A woman goes to the 360 Chicago observation deck cafe on the 94th floor,14,1,6,goes,woman|Chicago|observation|deck|cafe|floor,val
3407,A girl doing a hotel room tour,7,1,4,doing,girl|hotel|room|tour,val
3525,A girl doing a selfie video in her night dress,10,1,5,doing,girl|selfie|video|night|dress,val
3403,Couples having fun and sharing some cool scenes,8,2,3,having|sharing,Couples|fun|scenes,val
4508,Three women having some green health shots,7,1,3,having,women|health|shots,val
5612,Man and woman are dancing together.,6,1,2,dancing,Man|woman,val
9280,Weather broadcaster updates about tropical forecast,6,1,3,updates,Weather|broadcaster|forecast,val
721,Man walks away from white van.,6,1,2,walks,Man|van,val
1870,Kids exercise in front of parked cars.,7,1,3,exercise,Kids|front|cars,val
2276,A guy having a leisure time in a swing with a kid at outdoors,14,1,5,having,guy|leisure|time|swing|kid,val
342,Man turns the machine to make spaghetti.,7,2,3,turns|make,Man|machine|spaghetti,val
1751,A man rolling and dicing a roti,7,2,2,rolling|dicing,man|roti,val
6083,Chefs cook the onions alone in a pot.,8,1,3,cook,Chefs|onions|pot,val
7484,A man cuts watermeoln into small peices on a glass tray.,11,1,4,cuts,man|peices|glass|tray,val
3001,Different sculpture and murals on display in a museum.,9,0,4,,sculpture|murals|display|museum,val
5584,Two people look at an art installation of a boy riding a motorcycle.,13,2,5,look|riding,people|art|installation|boy|motorcycle,val
6746,"A tourist couple get the mango smoothie ball at the Bricklin Cafe in Penang, Malaysia",15,1,9,get,tourist|couple|mango|smoothie|ball|Bricklin|Cafe|Penang|Malaysia,val
9796,A team of doctors is pulling a patient who is laying on a gurney.,14,2,4,pulling|laying,team|doctors|patient|gurney,val
2585,A dog circling in a lawn,6,1,2,circling,dog|lawn,val
3739,Man with curly hair speaks directly to camera.,8,1,3,speaks,Man|hair|camera,val
4854,Girl in pink top is lying down on the couch.,10,1,3,lying,Girl|top|couch,val
7218,A man is showing his brown jeep with a white logo on it.,13,1,3,showing,man|jeep|logo,val
8721,A little girl with pink dress is playing with a log as a slide,14,1,4,playing,girl|dress|log|slide,val
3069,A guy doing a suite's room door,7,1,4,doing,guy|suite|room|door,val
4275,A car ride down a suburban street from a dash cameras point of view.,14,0,7,,car|ride|street|dash|cameras|point|view,val
7735,A man wearing a mask is outside of a business.,10,1,3,wearing,man|mask|business,val
4875,Man in black holds a bouquet next to a purple wall.,11,1,4,holds,Man|black|bouquet|wall,val
4887,A group of men wait for an elevator and take it to a different floor in a building.,18,2,5,wait|take,group|men|elevator|floor|building,val
6213,A man in black clothes and wearing a beige hat is talking in front of the camera,17,2,5,wearing|talking,man|clothes|hat|front|camera,val
7002,Man stands behind the woman at the table.,8,1,3,stands,Man|woman|table,val
7555,Man in a black suit escorts a woman to a doorway.,11,1,4,escorts,Man|suit|woman|doorway,val
2433,Man in blue top vlogs in a parked car.,9,1,3,parked,Man|vlogs|car,val
3584,Man leans his head out a truck window.,8,1,4,leans,Man|head|truck|window,val
4023,People butcher meat from a carcass.,6,1,3,butcher,People|meat|carcass,val
1961,man enjoying waterfall diving in Philippines,6,1,4,enjoying,man|waterfall|diving|Philippines,val
4419,Man in black top sits on a twin bed.,9,1,3,sits,Man|top|bed,val
5915,A man films himself while standing in front of a beach.,11,2,3,films|standing,man|front|beach,val
1276,Different women dance in their home videos.,7,1,3,dance,women|home|videos,val
2960,A woman in blue and white striped pants is wiggling her body around doing a dance.,16,2,4,wiggling|doing,woman|pants|body|dance,val
